Tweet,Target 1,Stance 1
@Upworthy @HillaryClinton It should be unlawful for an employer to discriminate against their workers. #EqualityForAll #SemST,The author of this text supports hillary clinton,1
@HillaryClinton > since trickle down economics has failed when was the last time a destitute individual generated employment? #SemST,The author of this text supports hillary clinton,0
Eager to receive my #YaaasHillary tee! @HillaryClinton #SemST,The author of this text supports hillary clinton,1
Too many women in too many nations communicate in the tongue of quietude. HILLARY CLINTON #HillaryCliton #Hillary4Women #SemST,The author of this text supports hillary clinton,1
"Let's hope! She's a murderer, deceiver, and a craven! #WakeUpAmerica #MakeAmericaGreatAgain #SemST",The author of this text supports hillary clinton,0
#HillaryClinton has yet to unveil @ClintonFdn contributors... The public merits transparency. #Scandals #lies #Clintons #SemST,The author of this text supports hillary clinton,0
@Molls30 @HillaryClinton I love it! One of our largest contributors is Saudi Arabia. They entirely back women's rights! #GoTeam #SemST,The author of this text supports hillary clinton,0
@AppSame: Monarch @HillaryClinton Was questioned About her views on @realDonaldTrump statements about undocumented individuals She Responded LET ME EAT PIE #SemST,The author of this text supports hillary clinton,0
"@NoahCRothman ""Everything I did was authorized."" -HRC. ""If God is dead, all things are authorized"" -Dostoyevsky. #tcot #SemST",The author of this text supports hillary clinton,0
"@GovtsTheProblem This is what I perceive: Clear a path for your queen subjects! Don't touch or speak to her, you scum! #NoHillary2016 #Benghazi #SemST",The author of this text supports hillary clinton,0
@JewboyDonny oh I know he won't he messed himself up at the start  #SemST,The author of this text supports hillary clinton,2
"@HillaryClinton attributes her deficit of faith among the people to @GOP, neglecting that she's a deceitful, manipulative, homicidal, fraud. #SemST",The author of this text supports hillary clinton,0
"So @ClintonFdn, I believe Andrew Fastow preceded you in the ""we made errors, as many entities of our magnitude do"" defense #SemST",The author of this text supports hillary clinton,0
"@donnabrazile @DougHeye So this woman does one action to assist. She's Republican - she's, ultimately, the adversary - don't doubt it #SemST",The author of this text supports hillary clinton,0
"Apparently, @BernieSanders enthusiasts don't appreciate Hillary's name even suggested. #SheWhoShallNotBeNamedBecauseShesWinning #SemST",The author of this text supports hillary clinton,1
Education should not be a burden sentence! -Former State Representative Patricia Harper #FellowsIA #SemST,The author of this text supports hillary clinton,2
@TODAYshow Hillary's emails lost and unfinished? Who'd have thought it?? JUST BELIEVE ME!!! #SemST,The author of this text supports hillary clinton,0
@appreciate @TRPhrophet @RamblingMother Thank you for RTs!!! #RiseAndShineAmerica #oustboehner #abandonmitch #SemST,The author of this text supports hillary clinton,2
"@GideonHenry First SCOTUS reiterates Obamacare, then it validates gay marriage. Your world is crumbling! #SemST",The author of this text supports hillary clinton,2
Preserve an intern.... Prevent Bill & Hillary from entering the White House.,The author of this text supports hillary clinton,0
@JusticeWillett at least he possesses a stage #SemST,The author of this text supports hillary clinton,2
"Yes, please inform us, cite one of her achievements. #SemST",The author of this text supports hillary clinton,0
"Gay marriage is a slight reversal for Fox News. Tune in for a complete breakdown on November 8, 2016. Many tears and shattered hearts. #SemST",The author of this text supports hillary clinton,2
It's more than blunders...with #HillaryClinton deceit and cover-ups are a way of life. @NormanSie @n2toom  #tcot #uniteblue #SemST,The author of this text supports hillary clinton,0
Fantastic day in Emmetsburg connecting with #HillaryClinton backers and gaining insights into crucial topics in Palo Alto county #SemST,The author of this text supports hillary clinton,0
#ThingsYouDontSayAsAPolitician I don't feel any bit weary. Head to the rear of the queue. What difference does it matter? #SemST,The author of this text supports hillary clinton,2
"@forewit @HillaryClinton is a corrupt fabricator who will do, say, deceive, erase, anything to secure another residency at 1600 Penn Ave. #SemST",The author of this text supports hillary clinton,0
Hillary Clinton is a crafty & deceptive career politician. She is the Richard Nixon of our era. #SemST,The author of this text supports hillary clinton,0
"That's accurate, provided one exerts effort, has a track record and merits it. @HillaryClinton NOT #SemST",The author of this text supports hillary clinton,0
@akawhit1 IT'S TIME TO ENCIRCLE KILLARY @FoxNews ERASE HER FROM YOUR BALLOT SHE IS A DUPLICATE OF SODOM INSANE OBAMMAD #WakeUpAmerica #SemST,The author of this text supports hillary clinton,0
Phenomenal Emmet County Dem gathering this evening in Estherville. Happy to encounter some @HillaryClinton backers! #SemST,The author of this text supports hillary clinton,1
@Babbsgirl2 @DrMartyFox She is as poor or worse possibly than #Obama and she will persist in breaking laws as if she is invincible. #SemST,The author of this text supports hillary clinton,0
"So delighted @ChrisChristie has declared his candidacy - fits perfectly with all the other ""competent"" Republicans on the list. #SemST",The author of this text supports hillary clinton,0
"If you require me, I'll be wailing like a toddler from now until about ten minutes post @HillaryClinton's arrival in #PTown. #SemST",The author of this text supports hillary clinton,0
The fellow in the variegated shirt appears super cool as hell. #SemST,The author of this text supports hillary clinton,0
Proud of @HillaryClinton for advocating for stricter gun control measures. #ReadyForHillary #SemST,The author of this text supports hillary clinton,1
GET OUT OF MY STATE YOU VAGRANT! #UniteBlue #SemST,The author of this text supports hillary clinton,2
@RobBently @JonahNRO @BernieSanders Hillary campaign will shortly disclose that Sanders was born in Canada. Yeah that's it. #SemST,The author of this text supports hillary clinton,0
"@appreciate @CzarofFreedom That deity for worldwide heating dissolving icebergs, never faces charges for her offenses #Liberals #SemST",The author of this text supports hillary clinton,0
Jeb Bush asserts Americans ought to labor more extendedly. I'll precisely do that... TO SELECT HILLARY CLINTON! #SemST,The author of this text supports hillary clinton,1
@HillaryClinton What's the surrounding temperature in #Hell today? Use that as a guide!  #SemST,The author of this text supports hillary clinton,0
@FoxNews @brithume Ok.. So where are these messages originating? Didn't @HillaryClinton already claim the server was wiped? #DECEPTION #SemST,The author of this text supports hillary clinton,0
She will be a #CoreHitler. #SemST,The author of this text supports hillary clinton,0
"Hillary has given up more diplomats, conveyed more untruths, concealed and obliterated more evidence... The beat goes on,,, @McSadie #SemST",The author of this text supports hillary clinton,0
"@Froquesha, can you grab that novel for me, yeah? #SemST",The author of this text supports hillary clinton,2
"@MarkBratlien Hi Mark, thanks a ton for your subscription, may God bless you and yours.  #freeallfour #SemST",The author of this text supports hillary clinton,2
H stands for Retaining Back emails belonging to #WeThePeople #obstructingjustice #WakeUpAmerica #HillaryLiesMatter #UniteBIue #SemST,The author of this text supports hillary clinton,0
"Hillary Clinton continues to dispatch emails to me, and whenever I attempt to opt-out, I receive a fault message. THIS IS CANCER #SemST",The author of this text supports hillary clinton,0
"I will offer the Jewish nation full backing to defeat Hamas & if that entails the death of 200,000 Gazans, then it shall be so. - #SemST",The author of this text supports hillary clinton,2
When you icon backs the incorrect nominee  (@ladygaga)  #Bernie2016 #SemST,The author of this text supports hillary clinton,2
@CNN and CNN demonstrated they are not a credible news outlet by failing to confront her about all her fabrications. #JournalismIsDead #SemST,The author of this text supports hillary clinton,0
@politicalmath @BoboFromTexas doesn't matter. Nobody minds if the Clintons commit errors as long as the checks continue to arrive. #SemST,The author of this text supports hillary clinton,0
Hilarity of the day: Hillary claimed she went 'over and above' in transparency. Really? What about the 30k obliterated emails? #SemST,The author of this text supports hillary clinton,0
@CheerUpKaci @tmacGA70 It's the Clinton past of notorious conduct. #Integrity knows no sex. #HillaryonCNN #SemST,The author of this text supports hillary clinton,0
"Hillary's campaign garnered $45 million; 91% of all contributions were $100 or under. This is a milestone, surpassing Obama's in '11. #SemST",The author of this text supports hillary clinton,0
@thehill: Women merit a superior nominee for the HIGH HONOR of the first woman President: We ALL do! #WhyI'mNotVotingForHillary #SemST,The author of this text supports hillary clinton,0
My attractive father Obama secured two victories this week. Joyful for him & democrats #SemST,The author of this text supports hillary clinton,2
"I believe matrimony is as it perpetually has been, between a male and a female. - @HillaryClinton  #MarriageEquaility #justsaying #SemST",The author of this text supports hillary clinton,0
"Across the river and through the forests, and UP THE HILLOCK WE TREK! Yass #HillaryClinton  #Hillary   #SemST",The author of this text supports hillary clinton,0
Be intriguing to observe how Hillary justifies the identical when interrogated. She will ultimately need to respond to questions. #SemST,The author of this text supports hillary clinton,0
Hillary needs to head to a Sheetz petrol station after 10 pm to witness the genuine United States. #SemST,The author of this text supports hillary clinton,0
"@TGowdySC Your panel has NOTHING!, 4 additional panels discovered ZILCH! UR squandering our funds on a futile quest. #HillaryClinton #SemST",The author of this text supports hillary clinton,1
"@HillaryforNH will you corral the people as well, Hillary swine?  #uppers #uniteblue #SemST",The author of this text supports hillary clinton,0
#Love Triumphs on the day I acquire my Hillary merchandise! #Yaaas #Pride #SemST,The author of this text supports hillary clinton,1
"Remarkable turnout @TheCenterLV . Emotional gathering. RT if you concur, love prevails. #FellowsNV  #SemST",The author of this text supports hillary clinton,2
"@jjauthor Janie, I am privileged to be followed by you, thank you and God bless you. #freeallfour #SemST",The author of this text supports hillary clinton,2
"#CarlyFiorina on #hannity, very impressive. A credible presidential candidate vs. A poor actress. #SemST",The author of this text supports hillary clinton,0
Hillary can't operate a darn fax machine but you fools are going to vote for her to be President?,The author of this text supports hillary clinton,0
"@seanhannity we lost 4,000 of our Armed forces personnel when your President withdrew from Iraq.  #LiberalConsequences  #SemST",The author of this text supports hillary clinton,0
@gerfingerpoken2 #Hillary is most likely a culprit many times over but has been shielded by the political elite. #SemST,The author of this text supports hillary clinton,0
"It just depends on what the interpretation of the term ""summons"" is...",The author of this text supports hillary clinton,0
Hillary: cease feigning your advocacy for the LGBT community when you were against them until 2013. You are a deceitful scheming individual #SemST,The author of this text supports hillary clinton,0
RT @spanglishpop: Thanks @GOP for persisting with the buffoons! It's making this impending election highly amusing #latinos2016 #Rock... #SemST,The author of this text supports hillary clinton,2
Then you know how sleek serpents slide across fragments of glass! #SemST,The author of this text supports hillary clinton,2
"I've been labeled numerous titles, dropout is not among them -@HillaryClinton at Iowa City Public Library #HillaryforIA #SemST",The author of this text supports hillary clinton,1
#HillaryInNH is like Adolph Hitler in a Jewish Temple. #tcot #uniteblue #ctot #SemST,The author of this text supports hillary clinton,0
@petefrt That woman is so depraved she can't even have a truthful thought. #SemST,The author of this text supports hillary clinton,0
@JSavoly @tedcruz Here ya go teddy boy..the world is getting WARMER!! It's called GLOBAL HEATING!! You're such a DUNDERHEAD!! #SemST,The author of this text supports hillary clinton,2
@USATODAY @HillaryClinton how about finding her a #routeToJAIL #DONOTPASSGO do collect any Additional #WeThePeople s #SemST,The author of this text supports hillary clinton,0
Let's bring wealth to the line workers & to the kindergarten teachers!!! - @amyklobuchar #inspiredbyhillary #SemST,The author of this text supports hillary clinton,1
It's excellent that @JebBush endorses GMO crops. It's like the IT doubt recurring once more. Science versus faith. #JebBush #SemST,The author of this text supports hillary clinton,0
"If you can't impress them with genius, confuse them with nonsense. #HillaryClinton #libstardsareidiots #SemST",The author of this text supports hillary clinton,0
Absolutely simple: the Clintons are dishonest.,The author of this text supports hillary clinton,0
Probably not ideal for everyone--which I think is great. But this is the commencement of a conversation.,The author of this text supports hillary clinton,2
"It's time that we transition from positive language to commendable actions, from catchy phrases to effective remedies.--@HillaryClinton #ReadyForHillary #SemST",The author of this text supports hillary clinton,1
"@HillaryClinton is an android & someone has programmed her to utter words - believes she needn't STRIVE to triumph, hence she DOESN'T!",The author of this text supports hillary clinton,0
@theblaze Heaven forbid anyone encroach upon the territory of the Queen of Deceit. -_- #SemST,The author of this text supports hillary clinton,0
"Now that #Hillary is collecting funds like a sitting president, can we cease feigning that she won't be the nominee? #SemST",The author of this text supports hillary clinton,0
So over 20 million governmental staff had their personal data breached. Has anyone examined @HillaryClinton's server? #2016 #Failure #SemST,The author of this text supports hillary clinton,0
"I'd love for some journalist to inquire, 'Sec Clinton, will you be returning the White House china, if elected? Or did you already pawn it? #SemST",The author of this text supports hillary clinton,0
@HillaryClinton will be the candidate for the Democratic Party. Period. And she's gonna triumph in the Presidential race too. #SorryBernie #SemST,The author of this text supports hillary clinton,0
Let's hope the ELECTORATE recall! #HillNo,The author of this text supports hillary clinton,0
Do you believe #HillaryClinton has handed over all of those messages on her personal server she obliterated! #SemST,The author of this text supports hillary clinton,0
@murphymike @blakehounshell @ScottFConroy let's examine jebs emails from 2000 when he assisted his foolish brother usurp the presidency #SemST,The author of this text supports hillary clinton,0
Barrack Obama doesn't concern himself with his hometown! Where do you reside? Do you believe he's worried about you? #TheFive #NoSanctuaryCities #2A #SemST,The author of this text supports hillary clinton,2
Thrilling to learn more about our Fellows scattered throughout the nation on tonight's call. Special mention to the #FellowsIA. #SemST,The author of this text supports hillary clinton,2
"If Hillary will confine Americans in classrooms during her campaign, she'll have no issues confining us all whenever she desires. #SemST",The author of this text supports hillary clinton,0
Much like you fine folks I overlooked my #livetweetingbladerunner a couple weeks ago #callback #potroast #cartography #blue #SemST,The author of this text supports hillary clinton,2
